Liver_DSC,Liver_IoU,Liver_Precision,Liver_Recall,Liver_VOE,Liver_RVD,Liver_ASSD,Liver_MSD,Liver_ICC,Tumor_DSC,Tumor_IoU,Tumor_Precision,Tumor_Recall,Tumor_VOE,Tumor_RVD,Tumor_ASSD,Tumor_MSD,Tumor_ICC
0.9775,0.9559902,0.98571426,0.9694215,0.044009805,-0.016528925,0.20179518668823282,27.80287754891569,0.9757658243179321,0.9635627,0.92968744,0.98347104,0.94444436,0.07031256,-0.039682537,0.03604224058769513,1.0,0.9634814858436584
0.9807074,0.9621451,0.9854604,0.976,0.03785491,-0.0096,0.020258644365844743,2.23606797749979,0.9799618721008301,0.96216214,0.9270833,0.9888888,0.936842,0.07291669,-0.052631576,0.03713450292397661,1.0,0.9622971415519714
0.9816273,0.96391755,0.9773519,0.9859402,0.036082447,0.008787346,0.01835391878899959,1.0,0.9809709191322327,4.999975e-06,4.999975e-06,0.0,0.0,0.999995,-0.999995,0.0,0.0,0.0
0.9887931,0.9778346,0.9862425,0.99135697,0.022165418,0.0051858253,0.011200282998325643,1.0,0.9879426956176758,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9964413,0.9929078,0.9946714,0.99821746,0.007092178,0.0035650623,0.0035555639985689093,1.0,0.9961845278739929,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99357504,0.9872321,0.99403125,0.99311924,0.012767911,-0.0009174312,0.006424756320502776,1.0,0.9925916790962219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9786802,0.9582505,0.9816701,0.9757085,0.041749477,-0.0060728746,0.021310718437956084,1.0,0.9780289530754089,0.94017094,0.8870968,0.9482757,0.93220323,0.11290318,-0.016949149,0.05976037405026301,1.0,0.939993143081665
0.99262273,0.9853535,0.99338084,0.9918658,0.014646471,-0.0015251653,0.013911115566523878,8.06225774829855,0.9916194081306458,0.97283953,0.94711536,0.97524744,0.97044325,0.05288464,-0.004926108,0.027154562746915085,1.0,0.9725029468536377
0.9973684,0.9947507,0.99824405,0.9964943,0.0052493215,-0.0017528484,0.002630811504163977,1.0,0.9971778392791748,1.0,1.0,0.99999666,0.99999666,0.0,0.0,0.0,0.0,0.9999958276748657
0.99466276,0.98938227,0.9941804,0.9951456,0.010617733,0.0009708738,0.005336980780277419,1.0,0.9938927888870239,0.96511626,0.9325843,0.9999999,0.93258417,0.067415714,-0.06741572,0.05056179775280899,4.0,0.9655237197875977
0.99389833,0.98787063,0.99054056,0.9972789,0.012129366,0.006802721,0.006090273947416805,1.0,0.9936161041259766,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.991453,0.9830508,0.9886364,0.9942857,0.016949177,0.0057142857,0.008538961038961039,1.0,0.990317702293396,0.95454544,0.9130435,0.9130431,0.9999995,0.0869565,0.09523805,0.043478260869565216,0.0,0.9554784893989563
0.9939577,0.987988,0.9932076,0.994709,0.012012005,0.0015117158,0.006041729060596985,1.0,0.9934300184249878,0.98285717,0.96629214,0.966292,0.99999994,0.033707857,0.03488372,0.016853932584269662,0.0,0.9829111099243164
0.98992556,0.98005205,0.9886264,0.99122804,0.019947946,0.002631579,0.010072754063636783,1.0,0.9891725778579712,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99293786,0.9859747,0.99014086,0.9957507,0.014025271,0.0056657223,0.007054223357140008,1.0,0.9922766089439392,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9905311,0.9812398,0.9933939,0.9876847,0.018760204,-0.0057471264,0.009460690794157008,1.0,0.9897773265838623,0.59459466,0.42307714,0.9999991,0.42307678,0.5769229,-0.5769229,4.499739174420319,19.313207915827967,0.6501433253288269
0.9955921,0.9912229,0.9976443,0.9935484,0.008777082,-0.0041055717,0.0044036627531441165,1.0,0.995082437992096,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99484,0.98973304,0.9958678,0.9938144,0.01026696,-0.0020618557,0.0051588992076339775,1.0,0.9945194125175476,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9956021,0.9912427,0.99706376,0.99414474,0.008757293,-0.0029276453,0.004395766142048341,1.0,0.994856059551239,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9776207,0.9562212,0.967366,0.9880952,0.043778777,0.021428572,0.023251707709797797,2.23606797749979,0.9764597415924072,0.95238096,0.90909094,0.93749994,0.96774185,0.090909064,0.032258064,0.08755180620967516,5.0,0.9522318840026855
0.99382424,0.98772424,0.9914692,0.9961905,0.012275755,0.004761905,0.0061701647483638,1.0,0.9934081435203552,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9839142,0.9683377,0.97866666,0.98921835,0.031662285,0.010781671,0.016057502246181493,1.0,0.983557939529419,3.3333222e-06,3.3333222e-06,0.0,0.0,0.99999666,300000.0,0.0,0.0,0.0
0.99148935,0.98312235,0.9936034,0.9893843,0.016877651,-0.0042462847,0.008726946011387248,1.0,0.9903877973556519,0.9655173,0.9333334,0.93333274,0.99999934,0.0666666,0.07142852,0.03333333333333333,0.0,0.9660652875900269
0.9951116,0.99027073,0.99744356,0.9927905,0.009729266,-0.00466497,0.004882977312455256,1.0,0.9942994117736816,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99372256,0.9875234,0.9955975,0.9918546,0.012476623,-0.0037593986,0.006403705719521528,1.4142135623730951,0.9930466413497925,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.96842104,0.93877554,0.9787233,0.95833325,0.06122446,-0.02083333,0.06753123123044634,5.385164807134504,0.9682006239891052,0.89361703,0.80769235,0.807692,0.9999995,0.19230765,0.23809513,0.09615384615384616,0.0,0.8985824584960938
0.9962582,0.9925443,0.9953271,0.997191,0.0074557066,0.0018726592,0.003740942980153313,1.0,0.9959930181503296,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.98629403,0.9729586,0.98868537,0.9839142,0.027041376,-0.0048257373,0.013811272240998613,1.4142135623730951,0.9845436215400696,0.72727287,0.57142884,0.9999988,0.5714282,0.42857116,-0.42857113,6.206482752801199,35.38361202590826,0.7557879090309143
0.98062956,0.96199524,0.9735577,0.9878049,0.038004756,0.014634146,0.019318714821763602,1.0,0.9801591634750366,0.9206349,0.85294116,0.99999964,0.8529409,0.14705884,-0.14705877,0.07352941176470588,1.0,0.9234101176261902
0.99475753,0.9895697,0.99737185,0.99215686,0.010430276,-0.0052287583,0.005235629074231533,1.0,0.9945108890533447,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9781762,0.9572845,0.9913112,0.9653846,0.04271549,-0.026153846,0.025307871097486872,4.242640687119285,0.9764264822006226,0.5217393,0.35294157,0.35294098,0.99999833,0.6470584,1.8333303,0.37226041910271707,0.0,0.5938888788223267
0.99240124,0.98491704,0.98864496,0.99618614,0.015082955,0.007627765,0.007584458298760099,1.0,0.9917484521865845,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9891197,0.9784736,0.9940358,0.984252,0.021526396,-0.00984252,0.010856123103896307,1.0,0.9884155988693237,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9940256,0.98812217,0.9903628,0.9977156,0.011877835,0.007424329,0.005960798558905763,1.0,0.9933140277862549,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9938244,0.98772466,0.9929484,0.994702,0.012275338,0.0017660044,0.006174788905460585,1.0,0.9928311705589294,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9889825,0.97820514,0.988342,0.98962384,0.021794856,0.0012970169,0.011285703976190022,1.4142135623730951,0.9884377717971802,0.989899,0.98,0.9799998,0.99999976,0.01999998,0.02040816,0.01,0.0,0.989915668964386
0.9954634,0.99096775,0.99610895,0.9948186,0.009032249,-0.0012953368,0.004536198866958328,1.0,0.9952349662780762,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99112904,0.98241407,0.9927302,0.989533,0.017585933,-0.003220612,0.009035141997708726,1.4142135623730951,0.9904032945632935,0.9047619,0.82608706,0.9047615,0.9047615,0.17391294,0.0,0.09523809523809523,1.0,0.9046377539634705
