epoch,accuracy,dice_avg,dice_liver,dice_tumor,iou_liver,iou_tumor,learning_rate,loss,precision_liver,precision_tumor,recall_liver,recall_tumor,val_accuracy,val_dice_avg,val_dice_liver,val_dice_tumor,val_iou_liver,val_iou_tumor,val_loss,val_precision_liver,val_precision_tumor,val_recall_liver,val_recall_tumor
0,0.933735191822052,0.3887687623500824,0.7772029042243958,0.0003346166049595922,0.6666535139083862,0.00016811351815704256,4.199999966658652e-05,0.7436037659645081,0.7478585839271545,0.00017833935271482915,0.8729374408721924,0.006169678643345833,0.8458135724067688,0.10903343558311462,0.21806664764881134,1.8142959845590667e-07,0.12288380414247513,1.8142959845590667e-07,1.6617299318313599,0.1747148483991623,0.0,0.2971022129058838,0.0
1,0.9874008297920227,0.5274882316589355,0.9167689681053162,0.13820765912532806,0.8469756841659546,0.09003324806690216,4.199999966658652e-05,0.43704691529273987,0.9060020446777344,0.3683536946773529,0.9306373000144958,0.09472114592790604,0.8947350978851318,0.19843250513076782,0.3968649208545685,4.703597866750897e-08,0.24891170859336853,4.703597866750897e-08,1.179823398590088,0.33603426814079285,0.0,0.49749016761779785,0.0
2,0.9900792837142944,0.676425039768219,0.9342156052589417,0.41863399744033813,0.8770189881324768,0.3054243326187134,4.199999966658652e-05,0.40974748134613037,0.9305374622344971,0.6168087124824524,0.9400544762611389,0.34152084589004517,0.934191882610321,0.2704949975013733,0.5409899353981018,1.0756674839740299e-07,0.3728671669960022,1.0756674839740299e-07,0.8792585730552673,0.5493336319923401,0.0,0.5522892475128174,0.0
3,0.9923915863037109,0.7674224972724915,0.9498335123062134,0.5850113034248352,0.9046279191970825,0.4553737938404083,4.199999966658652e-05,0.3919273316860199,0.9472282528877258,0.7501741051673889,0.9534628987312317,0.5159085988998413,0.9248540997505188,0.31320711970329285,0.6264142394065857,6.128649943093478e-08,0.4614371359348297,6.128649943093478e-08,0.7359132170677185,0.48933982849121094,0.0,0.8929203748703003,0.0
4,0.9933211803436279,0.7830131649971008,0.9562050700187683,0.6098215579986572,0.9162273406982422,0.4883549213409424,4.199999966658652e-05,0.38361209630966187,0.9528318643569946,0.7203968167304993,0.9605906009674072,0.5538146495819092,0.9669793844223022,0.4056282937526703,0.7969719171524048,0.014284773729741573,0.6642353534698486,0.007503937464207411,0.541302502155304,0.7308095693588257,0.15999993681907654,0.881554126739502,0.007503693923354149
5,0.9938217401504517,0.8104173541069031,0.9591590762138367,0.6616755127906799,0.9216732978820801,0.5396249294281006,4.199999966658652e-05,0.3787444233894348,0.956284761428833,0.7605842351913452,0.9630464911460876,0.6070795059204102,0.9888330101966858,0.5809684991836548,0.9236688017845154,0.2382679432630539,0.8585520386695862,0.16924753785133362,0.41042613983154297,0.9296027421951294,0.5078595876693726,0.918322741985321,0.17263124883174896
6,0.9946406483650208,0.8185920119285583,0.9645655751228333,0.6726181507110596,0.9316694736480713,0.5541424751281738,4.199999966658652e-05,0.37342286109924316,0.9619767665863037,0.7610344886779785,0.9678135514259338,0.6255336403846741,0.9937753081321716,0.7916067242622375,0.9577059745788574,0.625507652759552,0.9188981652259827,0.4880297780036926,0.3798978924751282,0.9474364519119263,0.890277087688446,0.9684215784072876,0.511746883392334
7,0.995309591293335,0.8381538987159729,0.9693284630775452,0.7069797515869141,0.9405664801597595,0.587786853313446,4.199999966658652e-05,0.3681110739707947,0.9666883945465088,0.784696638584137,0.9725654125213623,0.6642199158668518,0.9955758452415466,0.8912426829338074,0.9696557521820068,0.8128292560577393,0.9411399960517883,0.688090980052948,0.3678922951221466,0.9787248969078064,0.7928624749183655,0.9608471393585205,0.8482736349105835
8,0.9957525730133057,0.8630224466323853,0.9719017148017883,0.7541435956954956,0.9454059600830078,0.635908305644989,4.199999966658652e-05,0.3651154637336731,0.9703207612037659,0.8417535424232483,0.9738361835479736,0.7105858325958252,0.9963076710700989,0.8878799676895142,0.9745222330093384,0.801237165927887,0.9503425359725952,0.6915667057037354,0.3626353442668915,0.9714624285697937,0.8421846032142639,0.977634608745575,0.76898592710495
9,0.9960245490074158,0.8872957825660706,0.9736788868904114,0.8009125590324402,0.9487627148628235,0.6855565905570984,4.199999966658652e-05,0.36284321546554565,0.9721689820289612,0.8669053912162781,0.9755291938781738,0.7597568035125732,0.9964117407798767,0.8771541118621826,0.9757034778594971,0.7786049842834473,0.9525833129882812,0.6565021276473999,0.36103665828704834,0.9730594158172607,0.8624401688575745,0.9783791899681091,0.7474332451820374
10,0.9964231252670288,0.8876884579658508,0.9759219288825989,0.7994548082351685,0.953044593334198,0.6879029273986816,4.199999966658652e-05,0.3604004979133606,0.9740944504737854,0.8608518838882446,0.9780744314193726,0.7615419030189514,0.9966149926185608,0.8990490436553955,0.9767825603485107,0.821315586566925,0.9546434283256531,0.7041768431663513,0.35981500148773193,0.9801665544509888,0.8968597650527954,0.9734565019607544,0.7644444108009338
11,0.9961240291595459,0.881691575050354,0.9737117290496826,0.7896712422370911,0.949013352394104,0.6790604591369629,4.199999966658652e-05,0.3611964285373688,0.972551703453064,0.8662008047103882,0.975364089012146,0.749478816986084,0.9951111078262329,0.8567512631416321,0.9668952822685242,0.7466073632240295,0.9359416365623474,0.6362531185150146,0.3666558861732483,0.9690749645233154,0.7568359375,0.9648097157478333,0.7436137199401855
12,0.9963648915290833,0.8763094544410706,0.9758071303367615,0.7768116593360901,0.9528325796127319,0.6717796921730042,4.199999966658652e-05,0.3595028221607208,0.9750235080718994,0.828193724155426,0.9768227338790894,0.7507109045982361,0.9965460300445557,0.8925334215164185,0.9764948487281799,0.8085720539093018,0.954085111618042,0.7018619775772095,0.3581489324569702,0.9818311333656311,0.8596809506416321,0.9712581634521484,0.7720556855201721
