Liver_DSC,Liver_IoU,Liver_Precision,Liver_Recall,Liver_VOE,Liver_RVD,Liver_ASSD,Liver_MSD,Liver_ICC,Tumor_DSC,Tumor_IoU,Tumor_Precision,Tumor_Recall,Tumor_VOE,Tumor_RVD,Tumor_ASSD,Tumor_MSD,Tumor_ICC
0.9803594,0.96147543,0.9915469,0.9694215,0.038524568,-0.02231405,0.19473315607110114,27.80287754891569,0.9788810014724731,0.9554656,0.91472864,0.97520655,0.9365079,0.08527136,-0.039682537,0.04414272596090778,1.0,0.9553215503692627
0.9822294,0.96507937,0.9918434,0.9728,0.034920633,-0.0192,0.020751598828145902,3.605551275463989,0.9815804362297058,0.95238096,0.90909094,0.95744675,0.9473683,0.090909064,-0.010526315,0.04759238521836506,1.0,0.9521243572235107
0.9834926,0.96752137,0.9725086,0.9947276,0.03247863,0.022847101,0.01638190833378629,1.0,0.9829540848731995,4.999975e-06,4.999975e-06,0.0,0.0,0.999995,-0.999995,0.0,0.0,0.0
0.9913793,0.982906,0.988822,0.9939499,0.017094016,0.0051858253,0.008614058803901037,1.0,0.9907259941101074,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99733096,0.9946761,0.9955595,0.99910873,0.005323887,0.0035650623,0.002665881466424774,1.0,0.9971397519111633,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9942436,0.9885531,0.9981507,0.990367,0.011446893,-0.007798165,0.005741155462808621,1.0,0.9933763742446899,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9796748,0.96015936,0.98367345,0.9757085,0.03984064,-0.008097166,0.0203090142939767,1.0,0.9790499210357666,0.9661017,0.93442625,0.9661015,0.9661015,0.06557375,0.0,0.03389830508474576,1.0,0.9659826159477234
0.9928717,0.9858443,0.9943906,0.9913574,0.014155686,-0.0030503306,0.014233291907293758,8.602325267042627,0.9919024705886841,0.97044337,0.94258374,0.97044325,0.97044325,0.05741626,0.0,0.029556650246305417,1.0,0.9700769782066345
0.99648196,0.9929886,1.0,0.9929886,0.0070114136,-0.0070113936,0.0035056967572304996,1.0,0.9962316155433655,1.0,1.0,0.99999666,0.99999666,0.0,0.0,0.0,0.0,0.9999958276748657
0.99318403,0.9864603,0.99609375,0.99029124,0.013539672,-0.0058252425,0.0068074939320388345,1.0,0.9922153353691101,0.9467456,0.8988764,0.9999999,0.8988763,0.10112357,-0.10112359,0.06741573033707865,4.0,0.9478257894515991
0.9918699,0.983871,0.98785424,0.9959184,0.016129017,0.008163265,0.008113690820457738,1.0,0.9914990663528442,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9904368,0.9810548,0.9855967,0.9953247,0.018945217,0.00987013,0.009539308428197318,1.0,0.9891726970672607,0.9302326,0.86956525,0.9090905,0.95238054,0.13043475,0.047619026,0.06926406926406926,1.0,0.9303911924362183
0.99659735,0.99321777,0.9969743,0.9962207,0.0067822337,-0.0007558579,0.0034025040508723244,1.0,0.9962946176528931,0.99415207,0.9883721,0.9999999,0.988372,0.0116279125,-0.011627906,0.005813953488372093,1.0,0.9941321015357971
0.9854176,0.97125435,0.99287623,0.9780702,0.028745651,-0.01491228,0.014526800081236036,1.0,0.9843685626983643,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99364406,0.9873684,0.9908451,0.99645895,0.012631595,0.0056657223,0.006348003032358457,1.0,0.9930496215820312,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99343187,0.98694944,0.99343187,0.99343187,0.013050556,0.0,0.006568144499178982,1.0,0.992907702922821,0.79069775,0.65384626,0.99999946,0.6538459,0.34615374,-0.3461537,0.2195041069687134,2.0,0.8083841800689697
0.99176955,0.98367345,0.99410725,0.9894428,0.016326547,-0.0046920823,0.008224968332938756,1.0,0.9908173680305481,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99535364,0.99075025,0.99689764,0.9938144,0.009249747,-0.0030927835,0.00464397275024254,1.0,0.995064914226532,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99371594,0.9875104,0.995384,0.9920535,0.012489617,-0.0033458804,0.006281248063929764,1.0,0.992644727230072,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9726516,0.9467593,0.97149646,0.97380954,0.053240716,0.0023809525,0.0537703637437736,6.708203932499369,0.9711737632751465,0.9368421,0.88118815,0.9175257,0.95698917,0.118811846,0.04301075,0.10291526369775852,5.0,0.9366867542266846
0.9943074,0.98867923,0.9905482,0.9980952,0.01132077,0.0076190475,0.005678278872985868,1.0,0.9939261078834534,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.97463286,0.9505208,0.9656085,0.9838275,0.049479187,0.018867925,0.025282020565039434,1.0,0.9740790128707886,3.3333222e-06,3.3333222e-06,0.0,0.0,0.99999666,300000.0,0.0,0.0,0.0
0.99256504,0.98523986,0.9930925,0.9920382,0.014760137,-0.0010615712,0.00754471041325561,1.0,0.9915990233421326,0.962963,0.92857146,0.9999993,0.9285708,0.07142854,-0.07142852,0.03571428571428571,1.0,0.9635971188545227
0.9949001,0.989852,0.99701875,0.9927905,0.010147989,-0.004240882,0.005095380111635623,1.0,0.9940443634986877,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9934024,0.9868914,0.9962193,0.9906015,0.013108611,-0.0056390977,0.006589607288542717,1.0,0.9926939010620117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.96842104,0.93877554,0.9787233,0.95833325,0.06122446,-0.02083333,0.06753123123044634,5.385164807134504,0.96820068359375,0.90909094,0.8333334,0.86956483,0.95238054,0.16666663,0.09523805,0.08902691511387163,1.0,0.9099202156066895
0.991109,0.9823748,0.99064547,0.99157304,0.017625213,0.0009363296,0.008890751621277893,1.0,0.9904869794845581,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9895358,0.9792884,0.99033296,0.98873997,0.0207116,-0.0016085791,0.010463539161960819,1.0,0.9881918430328369,0.6666668,0.50000036,0.99999857,0.49999967,0.49999964,-0.49999967,6.242197038515485,35.38361202590826,0.7069537043571472
0.98313254,0.96682465,0.9714286,0.99512196,0.03317535,0.024390243,0.016724738675958188,1.0,0.9827737808227539,0.93750006,0.88235295,0.9999997,0.88235265,0.11764705,-0.11764702,0.058823529411764705,1.0,0.9392218589782715
0.99276793,0.9856397,0.99867725,0.9869281,0.014360309,-0.011764706,0.007197323373793962,1.0,0.9924346208572388,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9808967,0.9625096,0.9944664,0.9676923,0.037490427,-0.026923077,0.023027036529483666,5.0,0.9793860912322998,0.63157916,0.46153888,0.46153814,0.99999833,0.5384611,1.1666647,0.2851620600912729,0.0,0.6792191863059998
0.9939071,0.987888,0.99239546,0.9954233,0.012112021,0.0030511061,0.006090610888272094,1.0,0.9933812022209167,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
